Titolo,Descrizione,Data GG/MM/AAAA,Ora mm:HH,Link Locandina1,Link Locandina2
"BAMBINI IN GIOCO, GENITORE INSIEME","Ti piacciono i cani? Non esitare, unisciti a noi e vivi un pomeriggio divertente e allegro in compagnia dei nostri amici a 4 zampe.",01/11/2024,14:00:00,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/programma%20porte%20aperte.pdf,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/Locandina_%20A3_socializzazione.pdf
Corsi di Cucina,"Corsi di cucina per bambini dai 4 anni.",04/10/2024,17:30:00,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/corsi%20di%20cucina.jpg,
Corsi di Cucina,"Corsi di cucina per bambini dai 4 anni.",29/11/2024,17:30:00,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/corsi%20di%20cucina.jpg,
Corsi di Cucina,"Corsi di cucina per bambini dai 4 anni.",18/01/2025,09:30:00,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/corsi%20di%20cucina.jpg,
Il Bentrattamento,"Associazione Condividi ospita la mostra itinerante BenFatto - Il Bentrattamento.",14/09/2024,14:00:00,https://raw.githubusercontent.com/con-dividi/con-dividi.github.io/refs/heads/main/data/locandine/il%20bentrattamento.jpg,
